0	0.12	1606.5	450	5	0
98	0.126	1858.5	450	5	
99	0.132	14280	450	5	
120	0.138	13500	450	5	
121	0.144	2120	450	5	
200	0.15	2000	450	5	
250	0.123	1506.6	450	5	
300	0.097	539.6	450	5	
350	0.07	442	450	5	
400	0.08	380	450	5	
500	0.09	396	450	5	
600	0.22	392	450	5	
800	1.5	429	450	5	
1200	10.5	1.65	450	5	
